Geneid	Blood	1 hour	2 hours	4 hours	6 hours
RAB13	4	190.3333333	437	671.3333333	725
RAB17	0	143	408.3333333	357.3333333	682
RAB23	1.333333333	39	149.3333333	214	255
RAB25	1.333333333	310.6666667	908	1144	1631.666667
RAB26	0	7.666666667	18.33333333	17.33333333	47
RAB34	8	451	1374.333333	1512	2456
RAB38	2.333333333	28.33333333	99	127.3333333	190.6666667
RAB7B	0	9.333333333	33	45.33333333	118.6666667
RAC3	1.333333333	96.66666667	237.3333333	353.6666667	488.3333333
RACGAP1	31.66666667	454	741.3333333	877.6666667	942.3333333
RAD1	34	138	336.3333333	403	576.3333333
RAD21-AS1	0	8.333333333	26.33333333	44.66666667	28.33333333
RAD23A	65.33333333	335	830.6666667	1219.666667	1517
RAD51	0	13.33333333	24	34.33333333	53
RAD51AP1	1.333333333	50	74.66666667	123.3333333	132.3333333
RAD51C	8.666666667	62.66666667	158.6666667	199.3333333	247.3333333
RAI1	61	405.3333333	1276.666667	1628	1966.666667
RAI14	0.666666667	78.66666667	223	351.3333333	479
RAMP1	0.666666667	49.33333333	121.3333333	164	241
RAN	190	1543.333333	3728.333333	4807	6244.666667
RANBP1	24.33333333	200.6666667	474	737.3333333	948
RANBP17	1.333333333	45.33333333	172	210	204.6666667
RANGAP1	159.3333333	623	1211.333333	1180	1835.333333
RAPGEF5	1.333333333	33.33333333	90	121.6666667	114.6666667
RAPH1	1.333333333	283.6666667	925.6666667	1587.666667	1310.333333
RARG	29.66666667	267.3333333	731.6666667	917.3333333	1309
RARS	105	357	818.6666667	1043	1310.333333
RASAL1	1.333333333	21.66666667	100.3333333	108	176
RASAL2	2.666666667	242.3333333	755.6666667	1272	1762
RASAL2-AS1	0	6	8.666666667	16.66666667	28.33333333
RASD1	2.666666667	86.66666667	149	145.6666667	162.3333333
RASEF	0	198.6666667	627	745.3333333	948.6666667
RASGEF1B	9.666666667	83.33333333	306	404.3333333	254.6666667
RASGRF1	2	22	92.66666667	130.6666667	144
RASSF6	0	17.33333333	57	76.66666667	88.66666667
RASSF9	0	17.66666667	37.66666667	76	154
RBBP8	65.33333333	360.6666667	1177	1951	1546.333333
RBBP8NL	0	9.333333333	20	22.66666667	47.33333333
RBFOX2	2.666666667	287	1026.333333	1546.666667	1749
RBMS3	2.666666667	23.66666667	90.33333333	197.3333333	155.6666667
RCC1	22.33333333	443	1368.666667	1575.333333	2573
RCC2	75.33333333	605.6666667	1922.666667	2601.666667	3442
RCCD1	7.333333333	48.33333333	105	114.3333333	211.3333333
RCL1	11.33333333	134	356.6666667	485.6666667	783.6666667
RCN1	12	377.3333333	1176.333333	1715.666667	2123
RCN1P2	2.666666667	35	94	135.3333333	173.6666667
RCOR2	1.333333333	16.66666667	36.33333333	51.33333333	55.33333333
RDH10	11.33333333	69	310.3333333	366.6666667	630
RDH11	66.66666667	321.6666667	982.6666667	1419.333333	1698.333333
RDH13	13	60.66666667	135	146.3333333	242.3333333
RDH14	5.666666667	27.66666667	86	106.3333333	157.3333333
RDH16	0	4.666666667	9	9.333333333	11.33333333
